Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,54.4956782888954,54.5887011521026,54.5856304855996,54.6742061765985,54.8734476386919,55.1814771654347,55.5772003946669,56.0864561544988,56.6457319175053,57.1582673183887,57.6637087291584,58.1886035381228,58.8500649896781,59.6853391279447,60.5938944650368,61.4875937775362,62.4038893655268,63.2777737104555,63.9743755871586,64.5187562493952,64.8759766487598,64.8997420684038,64.8947968819317,65.0715261529765,65.2876142393007,65.6332392443935,66.1014979938965,66.5903801396431,66.9842922984852,67.0882646623991,66.6861964800682,65.7845101968643,65.5378500245756,66.147042564953,66.8031936608643,67.5853341985724,68.3789364997419,68.9633267365438,69.3592555272361,69.6196484280567,69.8252544864816,69.9709451375833,70.0700580730217,70.1966537577804,70.3381993703195,70.3571012774785,70.2185520858937,70.0372983975121,69.8421364137312,69.6508486876588,69.6416736843679,69.7940526024801,69.8594183808876,69.7953926905132,69.6208274610499,69.3523247727981,69.027742682921,68.6812691758703,68.3205692633645,67.9625149728727,67.7120031524284,67.6570940475799,67.6170792428014
Africa Eastern and Southern,52.8274157784759,52.7604902756956,52.6826758354695,52.5865096608518,52.4855200146271,52.3766281889937,52.2577618164994,52.1421537435157,52.0315761082849,51.9218982595951,51.8014422683099,51.6792373973474,51.5638756920615,51.4804645818135,51.4419733135378,51.4142213823217,51.3699940717839,51.3413341806288,51.3525439741294,51.3619443024619,51.3868750841146,51.4008466283297,51.3955325823119,51.4281247559813,51.491572512832,51.5528417981183,51.597103219366,51.6009536893046,51.5738965551601,51.5522338123665,51.5369286027593,51.5186468555464,51.4926682415313,51.4607031320348,51.5444172479884,51.6742761687718,51.7121942522526,51.770112526495,51.9131917655101,52.1009742276052,52.292565736414,52.4952894128363,52.6952781133297,52.8812795012001,53.0530316413024,53.2014025490894,53.3335669231418,53.4548876185475,53.561747990582,53.6613407718808,53.7671315110531,53.8800733974156,53.9908273606468,54.1048272085196,54.2343963532004,54.3903579093753,54.5306855647747,54.6660776466573,54.8342732029661,55.021545078717,55.2352001314207,55.4719319934514,55.7216383505643
Afghanistan,55.5397840942487,55.4870229598163,55.4317786177159,55.3356554098572,55.181682160916,54.9466202662646,54.6583323341661,54.3749968781312,54.0996271436168,53.8326614172133,53.5777064042251,53.3352829471189,53.1029186650456,52.8797665754711,52.6614615305456,52.4502471172668,52.2475914502444,52.0508163221312,51.8606291704545,51.6775551349265,51.5025969974368,51.3369869374762,51.1852084721804,51.0646640504312,50.9568991593017,50.8505457195703,50.7414622553995,50.6349804964913,50.5264791565855,50.4132114095266,50.2789300515877,50.1109894336682,49.9245652038871,49.7334037429947,49.5078193409366,49.2541771342705,48.985053747252,48.7118959386792,48.4451497993958,48.1991642201393,47.9969344494884,47.8492043568795,47.7675451249846,47.7446563565764,47.7813164516322,48.0851067054677,48.4669443127336,47.9988968973278,47.7919226324364,48.3451993372724,48.6775706365083,49.3617576739049,50.1755248805667,50.729094606505,51.3593001756622,51.8020783563802,52.0800436941602,52.4815668980114,52.8844624265785,53.290894238376,53.7751348360726,54.1713988581692,54.4750267397973
Africa Western and Central,55.3759459487675,55.2752434795109,55.1497925789658,54.9715790671885,54.7163439946825,54.4902649012096,54.3299818611392,54.1772412871522,54.0312983546315,53.8877878621414,53.7546737817903,53.6205534678056,53.4788667868813,53.3392159124351,53.1952685112242,53.0438676794984,52.9000158839294,52.7624808760923,52.6089955438775,52.4454807157928,52.2736380269685,52.0976553905844,51.9312790899591,51.7519290085904,51.5520438743044,51.3742002831715,51.2458206005603,51.1763324512632,51.193847459484,51.2516607028489,51.3089386745222,51.3945374846005,51.5152575309585,51.661660821211,51.816947939951,51.9829185995464,52.1452667707908,52.2924080737718,52.4452870472488,52.5754914885536,52.6594089732181,52.7038550163134,52.7351284503879,52.7734003953446,52.8109441430831,52.8321873633218,52.8327469983463,52.829313591714,52.8254429144807,52.8208474377849,52.8144004660216,52.8026654810322,52.7850562014891,52.7908943488443,52.8511320439605,52.9452709759278,53.0644427203076,53.2154313465693,53.3860935604053,53.5700609108907,53.7836969284942,54.0218266612134,54.2713665186819
Angola,54.6832573125248,54.1772392904459,53.6455699641395,53.0914080024258,52.490711149036,51.943487597971,51.4796369718602,51.0461084275718,50.6591668131482,50.3370690047063,50.023935683041,49.8385879729949,49.9212653353877,50.1332159359901,50.363171921712,50.5913507347733,50.8112499063375,51.0433952447016,51.2817261332623,51.4962730091364,51.6916382159451,51.8522858801409,51.9669890485822,52.0434003166964,52.0646927925195,52.01818422343,51.9041650175535,51.7476669518406,51.591339100919,51.4474804751048,51.3180829152977,51.1869974957662,51.0727047291563,50.9695592655145,50.874192014563,50.8377058280102,50.8522163074741,50.8968273191589,50.96746154583,51.0438808745836,51.1311717620685,51.2247450969247,51.3162561485798,51.4080690099517,51.4923745912938,51.5603022853604,51.6102656831929,51.6453668070737,51.6591850954488,51.6578678898584,51.6564743932546,51.6624135224408,51.6677043511385,51.6700461490767,51.6790607488963,51.6936352575454,51.7355793759201,51.8098504837757,51.8945205199553,51.9984151371403,52.1034231104574,52.2264253212768,52.3848135941605
Albania,53.4722640222676,53.077802935257,52.6971412818504,52.3775731788594,52.1610559193438,52.0892242917042,52.1444920373103,52.2750085875704,52.4760682980132,52.7463947014757,53.0890670791588,53.4986852522291,53.9579007006232,54.4761591890928,55.0516998675086,55.6609657970463,56.2963413375787,56.9484051975011,57.6017443886813,58.2430438218712,58.8396688050913,59.3746767841141,59.8505053467751,60.2686411622615,60.6303457949939,60.9317957893575,61.1816553626796,61.3836436999873,61.5307574872775,61.632712877091,61.698500378824,61.7358626672298,61.7444356227898,61.7336025077025,61.7136437675973,61.6969373674781,61.7252274380061,61.8345345741289,62.0328165967473,62.3062812864294,62.634165933249,63.0065778542192,63.4167650856349,63.8481489276884,64.3075338210961,64.8090735644328,65.3388158102835,65.8829968984405,66.419294173607,66.9359399960724,67.4069416157997,67.7901431883982,68.0628678653188,68.2191184386359,68.2899391214319,68.2998896263132,68.2347626553116,68.155645969323,68.0665850310722,67.897689659306,67.7063681600196,67.4840351559353,67.1981982330638
Andorra,66.3065925337569,66.1837403944986,66.055295773369,65.9191688838211,65.7840819542947,65.7179723502304,65.48535679912,64.9655435231351,64.5364325653561,64.4398070356117,64.6358349487677,65.0024623033089,65.4826559215137,66.0401336421588,66.6051341217191,67.1376110276959,67.6293375663543,68.0894374616304,68.5296329838672,68.9898072754965,69.585240515571,70.3453869550524,70.7536659930566,70.8522952117135,71.1371368286293,71.6203106632123,71.9786424585293,72.1381337252021,72.319729329668,72.5137252243965,72.7270181726542,72.9924505497479,73.2497141410703,73.4228142538373,73.5217982535184,73.5465416550793,73.3738649206906,73.023406821063,72.6572627348106,72.3113243469652,72.0049926245319,71.9979357121793,72.259116283337,72.5129384703853,72.7946863200036,73.1564475011118,73.1957542024794,72.9456238766255,72.8091512721057,72.7570004874614,72.8556547515013,72.7587062032806,72.4118993135012,72.1234753000357,71.9567448322082,71.9083426835133,71.8956996436473,72.1201573747401,72.3943023589087,72.4853621157146,72.470398970399,72.3897310018473,72.2370465023051
Arab World,53.0078671848267,52.7666535071636,52.5608974234633,52.3704787795047,52.2018577558565,52.0479933092606,51.9080333056435,51.8005216247936,51.7429651545228,51.7180026782058,51.6987265769015,51.6836106134083,51.6691343386951,51.6649164510912,51.6967610504804,51.6946147614319,51.6613606789522,51.711406929324,51.8222301858616,51.9435753605094,52.076654840624,52.2113467500804,52.3459565917087,52.4804099221071,52.6099524583071,52.742025812707,52.8736397922471,53.0083076892433,53.1693896922106,53.3632135990855,53.5488307012894,53.8325878408314,54.1611157993398,54.5113974847515,54.9024970018932,55.3321804214093,55.7946566986416,56.2909056372443,56.8056317973659,57.3267663830952,57.8467206304404,58.3540230637922,58.8421009731444,59.3103201099589,59.7572287433824,60.2244762323339,60.7645573267546,61.3325418974083,61.7971531075509,62.1448374017225,62.3656544489238,62.4297453469912,62.4111519718606,62.3351063363938,62.2373282118549,62.1709559352476,62.1615989741938,62.1889556359434,62.2334914228974,62.2913010911582,62.3016653464241,62.3373857255682,62.4907523269258
United Arab Emirates,59.136525115045,59.9802105203427,60.6931873520176,61.2761255107273,61.7363003650816,62.0700071635505,62.2728194226038,62.3546591363272,63.0899679981646,64.6340428136247,66.2713089744687,67.723424079788,68.9164650067475,69.847648942579,70.5131866601756,70.9183391793064,71.4078352006018,71.8557821127492,71.9480671086514,71.7704247282326,71.4586136659144,70.7940973295279,69.9119155101314,69.1766091898529,68.5555752158954,68.0625702908187,67.6918494107874,67.6338544928673,67.9796030306207,68.5685576191394,69.2850806896187,70.0471299430612,70.802832961052,71.5345407964075,72.2581862617131,73.0047204413661,73.5450017199595,74.0907939697431,74.9564723240664,75.9487861909507,76.9276742242697,77.7975202633897,78.5158027544996,79.0921615978002,79.5689146350961,80.2228034216824,81.626191874205,83.4680715128365,85.0026210225973,85.9823795479944,86.0792457141321,85.6775435689293,85.4095331783915,85.240036460873,85.1238545164038,85.0081794130448,84.8434329749975,84.595677324366,84.2509485190619,83.8167769381774,83.4050388654859,83.0985522967638,82.9388933748757
Argentina,63.7135033176217,63.7123079167836,63.7215695573618,63.7308587612526,63.7327027903879,63.7344656744293,63.74332034883,63.7525108468209,63.7614675326681,63.760824160571,63.7335774601161,63.6717156594875,63.5849611385038,63.4539896395318,63.2604471685572,63.0271304095716,62.7627907935628,62.4799223471931,62.194375763668,61.9140281873631,61.651597723124,61.4205347598466,61.2291834369069,61.0732012449001,60.9500785342762,60.8616546206188,60.8070946560295,60.7840125080192,60.7932950872087,60.8365655093767,60.8964173025107,60.9617183570123,61.0428301439464,61.1400727937393,61.244388596194,61.3591755992298,61.4904628684744,61.6370677432851,61.7893840165075,61.9345409660663,62.0778819195666,62.2333431184235,62.4007206751966,62.5849056211905,62.7739293618823,62.9570460711144,63.1412680705113,63.3291613702103,63.5188588880271,63.6957388406352,63.8465181722206,63.9571561104161,64.0236515867461,64.0668860528369,64.1135466076325,64.1583072712133,64.2036604565357,64.2627108587214,64.3470942996825,64.4598576572582,64.6161477991667,64.8213554497471,65.0283403864592
Armenia,55.9307102179032,54.9879788793475,54.4305870607538,54.2064956224451,54.1761993966916,54.2982008915643,54.5623473096882,54.9100444525184,55.3279568757783,55.8306772160256,56.4210454877076,57.1109407728443,57.9139883578416,58.8090997973106,59.7677485184614,60.748248241618,61.6308124369241,62.3386730875678,62.9197621570632,63.4549788864141,63.8950529213686,64.1839730810213,64.3478582678198,64.3791277559676,64.3678185509164,64.3837817998838,64.4052588038077,64.4185024366198,64.4079941488117,64.5574462278784,64.5455364688063,64.2278745399959,63.6680141069288,62.990406379222,62.5511620948252,62.3772245098799,62.4363291069213,62.5814555033933,62.8872722223079,63.4003679629273,64.0155422549336,64.5874170379271,65.0705345748642,65.5194283457551,66.0163027257649,66.6291956737329,67.4015562269979,68.3084569828248,69.1979725955493,69.8998565089558,70.3634024178858,70.5918382397124,70.5921862352762,70.4313578569128,70.1356728598397,69.7191806626463,69.2197736436327,68.6845507399744,68.1713253074061,67.671328261011,67.2487804339059,66.8320390716716,66.3739462658997
American Samoa,48.4205023524433,48.8776301755066,49.3559608875517,49.6810788646408,49.854343220339,49.9551109401052,50.010363983086,50.0583547971668,50.1259347482281,50.2661337677344,50.6186518928901,51.1352311232718,51.6427324234758,52.0978653300151,52.5213704673928,52.957984614084,53.4415100587797,53.9825737047914,54.5373552246405,55.0935388744129,55.603533472199,55.9799762180889,56.2863161466359,56.5700285830951,56.8185390903375,57.0234598560389,57.1742215645128,57.2487278838523,57.2431060810204,57.1714051157968,57.0580116274206,56.9506955288162,56.8538764914383,56.7583147692187,56.667336029911,56.5888279245707,56.5321100917431,56.5165759524988,56.5455894563892,56.5822828766885,56.6662945757734,56.8659556957685,57.1505921584131,57.4744781284249,57.8754197360543,58.3976665385825,59.0147349901034,59.6718840065623,60.3134700888344,60.8514250623126,61.3843334943801,61.9545203461609,62.432601063483,62.8370601000094,63.2032020529909,63.553184862171,63.8994608309546,64.2561106281463,64.6311746241533,65.0035396920996,65.3478100846522,65.6433884756301,65.5903777740132
