Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,2.37327864049224,2.46188027449786,2.56163718960879,2.66463679860809,2.76739289244124,2.8818590883186,3.01650348706791,3.18792369143923,3.40504956238807,3.64823866509354,3.90819960579632,4.19270102777282,4.45922641044592,4.69885708029074,4.93357211278164,5.16260263030034,5.41079380643053,5.66577999040112,5.88616411286404,6.05747830855078,6.19996306199963,6.40357111485542,6.62193421636352,6.74826876874519,6.81111656499077,6.8317875864636,6.83934131643766,6.88207913110939,6.93439450347031,6.90605382727899,6.75452546357943,6.51892019332783,6.35974441349736,6.3287728026534,6.34984373013164,6.40558079169371,6.47216590906229,6.55708666226881,6.66231995732322,6.77184661609127,6.91911426358851,7.14959119202121,7.42582887525741,7.70056417945869,7.99288001325643,8.28508832276706,8.54126026996073,8.77958816783246,9.02740928201151,9.2977663992259,9.60968293278454,9.98094542295237,10.4033336108078,10.8558514774495,11.3336679730486,11.8480684842817,12.4005358785978,12.9838721150244,13.6096601123993,14.270145853395,14.9369748884688,15.5434991763386,16.1421391328855
Africa Eastern and Southern,2.97256803947601,2.95394113601538,2.93533200820256,2.91839245403704,2.90467033305114,2.89451288880863,2.88747526807938,2.88431308299416,2.88451271723696,2.88606628199314,2.88828981785057,2.89218780372774,2.89653095066763,2.90134741198854,2.9057988886758,2.90903424725347,2.91391366687369,2.91953788960614,2.92679476685641,2.93595965523942,2.93894185799866,2.93864371479093,2.9395099006977,2.9353554609586,2.92973886074844,2.92741005740368,2.92402198606717,2.92364447311404,2.91910853266942,2.90910110016893,2.90283382924712,2.90050344569217,2.89980420106374,2.89577257695287,2.88705295305594,2.8768716631569,2.87114752522055,2.86689808141456,2.86083533469004,2.85660679536975,2.85665995891157,2.85855165541747,2.86016341527444,2.86060875503548,2.86141076456476,2.86397022713204,2.86685386620957,2.86957055535392,2.87212003031023,2.87808722914673,2.89161101082053,2.91216270603393,2.93645292483533,2.96148839430375,2.98827071697769,3.0154818554169,3.04532056155856,3.07867130973625,3.1129506505651,3.14636508478157,3.16669494525835,3.1653388669746,3.15503849958974
Afghanistan,2.83302943728627,2.81767412123129,2.79905450373125,2.77896791191492,2.75892911923386,2.73924697654934,2.72152713232255,2.70620567570727,2.69199781279447,2.67791015465783,2.663022030701,2.64957597034893,2.63657327473071,2.62251416366628,2.61002671594322,2.59985164574029,2.5926484077707,2.58448969625259,2.57072830011139,2.55017780566685,2.52454795354536,2.49797067644268,2.46483335602466,2.4281891009038,2.38211604777245,2.3269724672373,2.2876186845665,2.26533451622134,2.2521684608102,2.24954286067909,2.24657394119533,2.24616332161241,2.25392088017408,2.26506666780922,2.27406917040731,2.27980392367046,2.28429438224573,2.28646994496937,2.28587834662079,2.28535007609856,2.28480734708738,2.28484634471185,2.28883394829011,2.29391264258585,2.29664737806727,2.29941264028069,2.30238096660512,2.30571196902109,2.31761413685953,2.33529238260334,2.35343107220261,2.37388209171293,2.39198468572599,2.403284579283,2.40916200256692,2.40581576446341,2.39898955450016,2.39981758202619,2.4070929738622,2.41775383911968,2.41695301478831,2.40405843848977,2.3943397190254
Africa Western and Central,3.30168113150994,3.30756294735644,3.32117347791012,3.33230330411731,3.33922969761962,3.34115869784415,3.33849726947387,3.33053664601078,3.32100958730032,3.31243435676413,3.30166868878642,3.28718773105461,3.27314306464686,3.26258325457919,3.25468001040273,3.2489142585541,3.24773073410579,3.24951649387084,3.25053610945044,3.25047428653076,3.24060595855893,3.22482914919049,3.21568982672711,3.20975274846782,3.20612775029066,3.20560262310449,3.2045812121376,3.20374762526342,3.20445835268029,3.2041650898614,3.20232845397648,3.19814467078517,3.19025776734772,3.18096484602216,3.16933380390034,3.15565408997592,3.14209032808311,3.12864109929954,3.11430429235565,3.09896015917423,3.0837199960944,3.06938590480611,3.0567627982812,3.0452655551863,3.03296569059971,3.02052370916579,3.00951860798906,2.99976309893594,2.99137396932572,2.98461620613174,2.97828789924267,2.97006100470379,2.95930127431078,2.94242898616898,2.91734127222997,2.89956620661008,2.89353537646414,2.89103354440186,2.8926926209545,2.89852855744679,2.89695650549969,2.88314634854301,2.87628861582583
Angola,3.08004440009703,3.09429693054992,3.09762922447205,3.09738140124686,3.09308733925956,3.08455479975313,3.07101491961916,3.05116960042749,3.02476729036408,2.99186009411837,2.95263421458495,2.90983607220859,2.86316869768976,2.81201803616003,2.7590761006863,2.70343038312526,2.64553883249948,2.58647801829485,2.52786752775172,2.47215728828934,2.41883403652068,2.36887019010059,2.3234376704453,2.27908471611126,2.23663615279409,2.20007359621833,2.16972567386044,2.14184382970841,2.11781630278961,2.10271464709378,2.09573165125738,2.10106715841733,2.11480191540761,2.13437833908863,2.16421652869467,2.20228176565944,2.24569388375079,2.29204595261186,2.33765653161244,2.38265639893257,2.42654932011359,2.46810710437302,2.50656844258225,2.54124253059111,2.56990191051415,2.5895536201982,2.60133737945751,2.60639998194138,2.60647454798239,2.6035364649408,2.59871888108404,2.5922239567595,2.58482785206659,2.57357038485712,2.55677490582587,2.54681671508332,2.54583426221299,2.54905651458252,2.55953492686611,2.57599713515546,2.58997520856912,2.59446984834862,2.6000557419631
Albania,5.489078062096,5.42655399407092,5.3807995921743,5.33789228044356,5.28834473868177,5.22226462578908,5.13708363184516,5.04037037340983,4.94430227015534,4.86041015152233,4.79709265287037,4.75692230183797,4.73791749374738,4.73701678260889,4.74830024852526,4.76610133420273,4.78495039726411,4.80307554251756,4.81889843817142,4.83165285625716,4.85373607308684,4.88830243800228,4.93224831553815,4.99136795069547,5.0689787467005,5.16272690728232,5.2673918845771,5.37995463412645,5.49704207928947,5.61533541030562,5.73798912343321,5.87211430123696,6.02428036839472,6.19468141783413,6.38168171600564,6.58364907178376,6.79925082481718,7.02823446032064,7.27171219508347,7.53402155685636,7.82196406339934,8.14537425656676,8.50810503814409,8.89981574469502,9.30844398877106,9.71988377100567,10.1206071678408,10.5166068089151,10.9019446154388,11.2652729879444,11.6145245442652,11.9630262692482,12.3209619828276,12.6938075118444,13.0981497880449,13.5334306684815,13.971336274146,14.4011419224097,14.8503326192826,15.3505526581018,15.822112678783,16.2342409561742,16.6551913031639
Andorra,6.80434207042626,6.43629778278107,6.03804421845916,5.68013851936315,5.42159180457053,5.26082949308756,5.14574453457995,5.07796373336721,5.08211598700196,5.12493902108515,5.17610332066161,5.22008301479727,5.26673090399439,5.33338799270297,5.4302470916258,5.57354510754536,5.73506067899022,5.90649132443698,6.11540055566642,6.37631070236073,6.68192412456825,7.00371747211896,7.23094460852894,7.38523941432529,7.5817024454428,7.83619991097821,8.10227060926005,8.37724362338617,8.71220131105942,9.08721206076861,9.48487478882573,9.76738312783555,9.95225501235085,10.1671850699844,10.4002490292773,10.6598863771801,11.0269301219845,11.4800098945611,11.915993587531,12.3273170360216,12.7175763077272,12.7580359775877,12.475916921318,12.23759429016,12.0285701287476,11.8383223406054,11.7108469780168,11.5929050704568,11.4042469265663,11.1506797378541,10.8257188598914,10.8059659191554,11.1754972716071,11.6252023007994,12.1032092318647,12.5882459527078,12.9313969437762,13.1845361034177,13.5102348243983,13.842788467836,14.1949806949807,14.5355163600476,14.9679294447785
Arab World,3.4868495009106,3.50853567032878,3.540907720122,3.56798750549275,3.58931662470848,3.60618856332459,3.61055235150636,3.60291778677171,3.59308861358209,3.58069887121925,3.56593253230632,3.55023322839315,3.53408795133348,3.51672275840951,3.49656484389395,3.48215658113238,3.47944567770372,3.46732740736293,3.43882687431141,3.40973159895973,3.38367360694309,3.35788755185178,3.33233500493101,3.31005475088571,3.29628043022867,3.29044929286282,3.2915952603581,3.29809051449208,3.30569336508426,3.31804213596893,3.32952654355342,3.35452238660346,3.37749551231374,3.40098796828385,3.42466615681233,3.44981471812996,3.49158302297852,3.54957514339704,3.59104265416531,3.61421418396904,3.63274832345146,3.64750631498693,3.66021207377185,3.66760264573217,3.66940349879398,3.66256480236218,3.6450005953934,3.62346887449242,3.6067837496321,3.60123678079716,3.6145913185774,3.65274008564847,3.70576107507584,3.76498207005842,3.82825985945397,3.89707127194567,3.97250311800462,4.05732979727603,4.15161860285186,4.25238307829405,4.35576340297197,4.45365247942961,4.54808343336385
United Arab Emirates,2.30427352989672,2.18748226749135,2.08124128897919,1.98367583507689,1.88801945488807,1.79980609505945,1.71635371406342,1.63450511615514,1.56989252346294,1.54761599222935,1.56079903517291,1.58745823815067,1.6191411899783,1.66177476412424,1.7244445889923,1.82372274997516,1.79386398383528,1.63985564347163,1.49484961778073,1.35213602487309,1.22361011332298,1.17017215364758,1.173004205998,1.17136666447151,1.16465220370541,1.15647538140528,1.13287453679195,1.09885786552396,1.07214458316493,1.05115441422069,1.03510167478751,1.02398272043163,1.01784729549846,1.01552478225904,1.01430899810393,1.00998833807144,0.989044732551157,0.957533332957045,0.931403258328113,0.911732868710015,0.897588123100766,0.885820802082104,0.872441229621583,0.854332947942319,0.8292433975678,0.773185009507723,0.630644763081592,0.433596634145145,0.268190673080177,0.171770442922267,0.175989189050258,0.247725856116559,0.331091759757493,0.428292426256285,0.541775268911334,0.673961878451242,0.827883285156327,1.00780791715488,1.21968197635722,1.47102198876923,1.65397566501915,1.75841387177742,1.82894979133056
Argentina,5.17022487285896,5.3089403247794,5.44734736815515,5.58494453547757,5.72347810328744,5.86309456738271,6.00795666102876,6.15490253147672,6.29530708103255,6.42305172778424,6.54915880798828,6.671835502388,6.78418914975683,6.89336131695549,7.00025416748126,7.11278560422184,7.23075472407896,7.35330791823546,7.47996555382627,7.59906038739516,7.70605609085024,7.80373980310337,7.89066756487503,7.96954277743267,8.04617239554968,8.12726878680278,8.2206636514023,8.32596342182176,8.44256103724765,8.56852606228196,8.69963810054806,8.84018592170795,8.9841883643417,9.11834620025524,9.24472615607154,9.35935072601786,9.4589752705912,9.54159681363374,9.61210569479175,9.67901672306446,9.74190489982627,9.80315293348933,9.86643193189669,9.92088348230186,9.97802711548057,10.0527391503469,10.136248077845,10.2173352584793,10.3039251181085,10.4081131858639,10.5137373919781,10.6236690386539,10.7483797397358,10.8756021624757,10.9955027961097,11.1124805726824,11.2200190154211,11.3304460535986,11.4597543508974,11.6005982274874,11.7274541416082,11.8219073882904,11.9183280591447
